OutcomeType	Breed	Color	Name	Selected	AnimalType	SexuponOutcome	AgeuponOutcome
Adoption	Labrador Retriever Mix	Black		No	Dog	Neutered Male	Under 1 year
Transfer	Domestic Medium Hair Mix	Blue Tabby/White		No	Cat	Intact Female	1-3 years
Transfer	Snowshoe Mix	Blue Point/White	Halle	No	Cat	Intact Female	Under 1 year
Adoption	Domestic Medium Hair Mix	Blue Tabby/White	Karis	No	Cat	Spayed Female	Under 1 year
Transfer	Domestic Shorthair	Brown Tabby/White	Reba	No	Cat	Spayed Female	Under 1 year
Adoption	Dachshund Mix	Black/Tan	Lizzie	No	Dog	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Cream Tabby	X	No	Cat	Neutered Male	4-6 years
Return_to_owner	Australian Shepherd Mix	Black/Tricolor	Spencer	No	Dog	Neutered Male	7-10 years
Euthanasia	Labrador Retriever Mix	Black/Black		No	Dog	Intact Male	7-10 years
Euthanasia	Domestic Shorthair Mix	Calico		No	Cat	Spayed Female	1-3 years
Adoption	Labrador Retriever Mix	Black		No	Dog	Neutered Male	Under 1 year
Return_to_owner	Domestic Shorthair Mix	Gray Tabby/White	Malcolm	No	Cat	Neutered Male	11+ years
Transfer	Pit Bull Mix	Blue/White		No	Dog	Intact Male	Under 1 year
Transfer	Domestic Shorthair Mix	Black	Omar	No	Cat	Neutered Male	11+ years
Adoption	Rottweiler/Labrador Retriever	Black/Brown		No	Dog	Neutered Male	Under 1 year
Adoption	Domestic Shorthair Mix	Black/White	Chekov	No	Cat	Neutered Male	Under 1 year
Adoption	Catahoula Mix	White/Tan	Shirley	No	Dog	Spayed Female	1-3 years
Transfer	Dachshund/Rat Terrier	Tricolor		No	Dog	Spayed Female	Under 1 year
Transfer	Chihuahua Shorthair Mix	Brown/White	Milo	No	Dog	Neutered Male	7-10 years
Transfer	Dachshund Longhair Mix	Tan		No	Dog	Intact Male	1-3 years
Transfer	Domestic Shorthair Mix	Black/White		No	Cat	Intact Female	1-3 years
Transfer	Domestic Shorthair Mix	Blue		No	Cat	Intact Male	Under 1 year
Transfer	Domestic Shorthair Mix	Orange Tabby	Murphy	No	Cat	Intact Male	1-3 years
Transfer	Domestic Shorthair Mix	Black Tabby		No	Cat	Intact Male	Under 1 year
Return_to_owner	Domestic Shorthair Mix	Calico	Tabitha	No	Cat	Spayed Female	1-3 years
Return_to_owner	Rat Terrier	White/Red	Chemmie	No	Dog	Spayed Female	4-6 years
Return_to_owner	Miniature Schnauzer Mix	Gray/White	Puchi	No	Dog	Intact Male	7-10 years
Adoption	Chihuahua Shorthair Mix	Black/Tan		No	Dog	Neutered Male	1-3 years
Euthanasia	Border Collie Mix	Black/White	Aurora	No	Dog	Spayed Female	4-6 years
Adoption	Domestic Shorthair Mix	Blue Tabby/White	Lucy	No	Cat	Intact Female	Under 1 year
Transfer	Old English Sheepdog	Gray/White		No	Dog	Spayed Female	1-3 years
Return_to_owner	Labrador Retriever Mix	Brown	Nala	No	Dog	Spayed Female	1-3 years
Return_to_owner	Jindo Mix	Red	Jake	No	Dog	Neutered Male	4-6 years
Return_to_owner	Domestic Longhair Mix	Black	Casper	No	Cat	Neutered Male	1-3 years
Euthanasia	Domestic Shorthair Mix	Gray		No	Cat	Intact Female	1-3 years
Return_to_owner	Chow Chow Mix	Brown/Black	Venus	No	Dog	Spayed Female	11+ years
Return_to_owner	American Pit Bull Terrier Mix	Sable/White	Chucho	No	Dog	Intact Male	1-3 years
Adoption	Chihuahua Shorthair Mix	White/Tan	Toro	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Tortie		No	Cat	Intact Female	Under 1 year
Return_to_owner	Boxer Mix	Brown/White	Rex	No	Dog	Neutered Male	4-6 years
Transfer	Pit Bull Mix	Brown Brindle	Chokolate	No	Dog	Neutered Male	7-10 years
Euthanasia	Pit Bull/Australian Cattle Dog	Brown Brindle/White	Kila	No	Dog	Spayed Female	11+ years
Transfer	Pit Bull Mix	Brown/White	Bambi	No	Dog	Spayed Female	Under 1 year
Euthanasia	Chihuahua Shorthair Mix	White		No	Dog	Intact Male	Under 1 year
Return_to_owner	Labrador Retriever Mix	Brown/White	Daenerys	No	Dog	Spayed Female	4-6 years
Euthanasia	Domestic Shorthair Mix	Calico/White		No	Cat	Intact Female	Under 1 year
Adoption	Domestic Shorthair Mix	Orange Tabby	Alphonse	No	Cat	Neutered Male	Under 1 year
Adoption	Whippet Mix	Chocolate/White		No	Dog	Spayed Female	Under 1 year
Transfer	Chihuahua Shorthair Mix	Black	Dolly	No	Dog	Spayed Female	7-10 years
Adoption	Domestic Longhair Mix	Calico	Lucy	No	Cat	Spayed Female	11+ years
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Intact Female	Under 1 year
Transfer	Dachshund Mix	Red Merle/White		No	Dog	Neutered Male	4-6 years
Adoption	American Bulldog	White/Brown Tiger	Cash	No	Dog	Neutered Male	1-3 years
Adoption	Pit Bull Mix	Tan/Brown	Cooper	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Cream Tabby	Davey	No	Cat	Intact Male	Under 1 year
Transfer	Chihuahua Shorthair Mix	Black/Tan		No	Dog	Intact Male	11+ years
Adoption	Domestic Medium Hair Mix	Tortie	Dilute	No	Cat	Spayed Female	Under 1 year
Adoption	Labrador Retriever Mix	Black	Dori	No	Dog	Spayed Female	1-3 years
Return_to_owner	Boxer Mix	Tan/White	Capitan	No	Dog	Neutered Male	1-3 years
Return_to_owner	Pit Bull Mix	Brown Brindle		No	Dog	Intact Male	4-6 years
Transfer	Domestic Shorthair Mix	Tortie	Splash	No	Cat	Spayed Female	1-3 years
Return_to_owner	Staffordshire Mix	Fawn/White	Paco	No	Dog	Neutered Male	1-3 years
Transfer	Rat Terrier Mix	White/Chocolate	Stevie	No	Dog	Intact Male	7-10 years
Return_to_owner	German Shepherd Mix	Brown/Black	Heidi	No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Tortie	Darby	No	Cat	Spayed Female	1-3 years
Adoption	Rat Terrier Mix	Tricolor	Dakota	No	Dog	Neutered Male	4-6 years
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Intact Male	Under 1 year
Adoption	Domestic Shorthair Mix	Brown Tabby	Charlie	No	Cat	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Blue Tabby		No	Cat	Unknown	Under 1 year
Transfer	Black Mouth Cur Mix	Brown/Black	Capri	No	Dog	Intact Female	Under 1 year
Adoption	Siamese Mix	Flame Point	Pinky	No	Cat	Intact Male	Under 1 year
Transfer	Domestic Shorthair Mix	Black/White		No	Cat	Spayed Female	1-3 years
Adoption	Chihuahua Shorthair Mix	Black		No	Dog	Neutered Male	Under 1 year
Adoption	Chihuahua Longhair/Dachshund	Tricolor	Ollie	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Unknown	Under 1 year
Transfer	Labrador Retriever/Australian Shepherd	Black/White	Chef	No	Dog	Neutered Male	Under 1 year
Transfer	Pit Bull Mix	Black/White	French Fry	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Tortie		No	Cat	Intact Female	Under 1 year
Transfer	Jack Russell Terrier/Pug	Brown/White		No	Dog	Intact Male	1-3 years
Adoption	Chinese Sharpei Mix	White/Black	Penny	No	Dog	Spayed Female	Under 1 year
Transfer	Siamese Mix	Lynx Point		No	Cat	Intact Male	Under 1 year
Transfer	Domestic Medium Hair Mix	Blue Tabby		No	Cat	Intact Female	1-3 years
Transfer	Pit Bull Mix	Brown Brindle		No	Dog	Intact Male	Under 1 year
Adoption	Domestic Shorthair Mix	Tortie	Truffle	No	Cat	Spayed Female	Under 1 year
Return_to_owner	Siberian Husky	Tan/Gray	Togo	No	Dog	Neutered Male	7-10 years
Adoption	Domestic Shorthair Mix	Orange Tabby		No	Cat	Neutered Male	Under 1 year
Adoption	Chihuahua Shorthair Mix	White/Black	Princess	No	Dog	Spayed Female	7-10 years
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Unknown	Under 1 year
Transfer	Dachshund/Chihuahua Shorthair	Sable	Nina	No	Dog	Spayed Female	1-3 years
Euthanasia	Siamese Mix	Lynx Point		No	Cat	Intact Male	1-3 years
Return_to_owner	Chihuahua Shorthair Mix	Black	Chops	No	Dog	Spayed Female	4-6 years
Adoption	Domestic Shorthair Mix	Black/White	Waffles	No	Cat	Spayed Female	Under 1 year
Transfer	Chihuahua Shorthair/Dachshund Wirehair	Brown/White	Canelo	No	Dog	Neutered Male	Under 1 year
Adoption	Pit Bull Mix	Fawn/White	Bowser	No	Dog	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Orange Tabby		No	Cat	Unknown	Under 1 year
Adoption	Domestic Shorthair Mix	Brown Tabby	Finch	No	Cat	Neutered Male	Under 1 year
Adoption	Domestic Medium Hair Mix	Brown Tabby/White		No	Cat	Neutered Male	Under 1 year
Adoption	Chihuahua Shorthair Mix	Tan/White	Lucy	No	Dog	Spayed Female	Under 1 year
Adoption	Domestic Shorthair Mix	Brown Tabby	Eloise	No	Cat	Spayed Female	Under 1 year
Return_to_owner	Pit Bull Mix	Black/White	Peaches	No	Dog	Spayed Female	4-6 years
Transfer	Domestic Medium Hair Mix	White/Blue	Elsie	No	Cat	Intact Female	Under 1 year
Euthanasia	Domestic Shorthair Mix	Brown Tabby		No	Cat	Unknown	1-3 years
Transfer	Domestic Shorthair Mix	Orange Tabby		No	Cat	Intact Male	Under 1 year
Transfer	Border Collie/Australian Cattle Dog	White/Black		No	Dog	Intact Male	Under 1 year
Adoption	Chihuahua Shorthair/Dachshund	Tan	Juliet	No	Dog	Spayed Female	1-3 years
Return_to_owner	English Bulldog/Cairn Terrier	Tan/White	Frank	No	Dog	Neutered Male	1-3 years
Adoption	Black Mouth Cur Mix	Brown/Black	Bailey	No	Dog	Spayed Female	Under 1 year
Adoption	Australian Cattle Dog Mix	Black/White		No	Dog	Neutered Male	Under 1 year
Transfer	Chihuahua Shorthair Mix	Tan		No	Dog	Intact Female	Under 1 year
Adoption	Maine Coon Mix	Tortie	Buffy	No	Cat	Spayed Female	7-10 years
Return_to_owner	Domestic Shorthair Mix	Orange Tabby/White	Bumble	No	Cat	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Torbie	Kira	No	Cat	Spayed Female	Under 1 year
Transfer	Plott Hound/Black/Tan Hound	Brown/Tan		No	Dog	Intact Female	Under 1 year
Transfer	Domestic Shorthair Mix	Blue/White	Reggie	No	Cat	Spayed Female	1-3 years
Adoption	Domestic Shorthair Mix	Black/White		No	Cat	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Black		No	Cat	Unknown	Under 1 year
Euthanasia	Pit Bull Mix	Black/White	Precious	No	Dog	Unknown	Under 1 year
Adoption	Domestic Shorthair Mix	White/Black Tabby	Olivia	No	Cat	Spayed Female	Under 1 year
Return_to_owner	Pit Bull	Blue/White	Titan	No	Dog	Neutered Male	4-6 years
Adoption	Dachshund Mix	Red	Corkie	No	Dog	Spayed Female	4-6 years
Transfer	Dachshund Mix	Red	Rusty	No	Dog	Neutered Male	4-6 years
Adoption	Domestic Longhair	Cream Tabby	Ossie	No	Cat	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Black		No	Cat	Intact Female	Under 1 year
Adoption	Pit Bull Mix	Brown/White	Sadie	No	Dog	Spayed Female	Under 1 year
Return_to_owner	Australian Shepherd Mix	Blue Merle/Tan	Sinch	No	Dog	Neutered Male	1-3 years
Adoption	Catahoula	Brown Merle	Enyo	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Brown Tabby/White	Sandy	No	Cat	Intact Female	Under 1 year
Adoption	Miniature Schnauzer	Gray	Fritz	No	Dog	Neutered Male	7-10 years
Adoption	Catahoula/American Pit Bull Terrier	White/Brown	Bella	No	Dog	Spayed Female	4-6 years
Adoption	Domestic Shorthair Mix	Blue Tabby	Maddie	No	Cat	Spayed Female	Under 1 year
Transfer	Maltese Mix	White		No	Dog	Neutered Male	4-6 years
Transfer	Labrador Retriever Mix	Black/White		No	Dog	Intact Female	Under 1 year
Transfer	Australian Kelpie Mix	Red	Reuben	No	Dog	Neutered Male	1-3 years
Adoption	Pomeranian/Jack Russell Terrier	Tan	Sweet Pea	No	Dog	Spayed Female	1-3 years
Return_to_owner	Chihuahua Shorthair/Dachshund	Tan/White	Cola	No	Dog	Intact Male	1-3 years
Euthanasia	Domestic Shorthair Mix	Brown Tabby	Angel	No	Cat	Intact Female	1-3 years
Return_to_owner	Pit Bull Mix	Blue/White	King	No	Dog	Intact Male	1-3 years
Return_to_owner	Pit Bull Mix	Black/White	Princess	No	Dog	Intact Female	Under 1 year
Adoption	Domestic Shorthair Mix	Brown Tabby/White	Wilson	No	Cat	Neutered Male	Under 1 year
Adoption	Border Collie/Labrador Retriever	Black/White	Fanny	No	Dog	Spayed Female	Under 1 year
Adoption	Australian Cattle Dog Mix	Tan/White	Moose	No	Dog	Neutered Male	Under 1 year
Return_to_owner	Chihuahua Shorthair Mix	Black/Tan	Eddie	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Blue/White		No	Cat	Intact Female	Under 1 year
Adoption	Pit Bull Mix	Black/White	Rex	No	Dog	Neutered Male	1-3 years
Transfer	Rat Terrier/Chihuahua Shorthair	Tricolor	Deuce	No	Dog	Neutered Male	1-3 years
Adoption	Bull Terrier Mix	Tan/White	Diamond	No	Dog	Spayed Female	7-10 years
Transfer	Domestic Shorthair Mix	Blue	Happy	No	Cat	Intact Female	Under 1 year
Return_to_owner	Australian Cattle Dog Mix	Black/White	Pepper	No	Dog	Spayed Female	Under 1 year
Transfer	Boxer Mix	White	Ida	No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Blue/White		No	Cat	Unknown	Under 1 year
Return_to_owner	Beagle Mix	Tricolor	Kira	No	Dog	Intact Female	11+ years
Transfer	Domestic Medium Hair Mix	Black		No	Cat	Unknown	1-3 years
Return_to_owner	German Shepherd Mix	Black/Cream	Ladybird	No	Dog	Spayed Female	11+ years
Transfer	Domestic Shorthair Mix	Cream		No	Cat	Intact Male	Under 1 year
Euthanasia	Domestic Shorthair Mix	Black/White		No	Cat	Unknown	7-10 years
Adoption	Labrador Retriever/Black Mouth Cur	Sable	Sam	No	Dog	Neutered Male	1-3 years
Transfer	Toy Poodle Mix	White		No	Dog	Neutered Male	1-3 years
Euthanasia	St. Bernard Smooth Coat Mix	White/Red	Charlie	No	Dog	Neutered Male	1-3 years
Adoption	Catahoula Mix	Brown Merle	Lucy	No	Dog	Spayed Female	1-3 years
Return_to_owner	Miniature Schnauzer Mix	Gray	Max	No	Dog	Intact Male	4-6 years
Euthanasia	Pit Bull Mix	Brown/White	Willis	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Blue	Moonshadow	No	Cat	Spayed Female	Under 1 year
Euthanasia	Pit Bull Mix	Tan/White	Rocky	No	Dog	Neutered Male	1-3 years
Transfer	Lhasa Apso Mix	Cream		No	Dog	Intact Female	1-3 years
Return_to_owner	Chihuahua Shorthair/Chinese Sharpei	Tan/White	Sweetie	No	Dog	Spayed Female	7-10 years
Euthanasia	Labrador Retriever Mix	Black	Blackie	No	Dog	Neutered Male	4-6 years
Adoption	Cardigan Welsh Corgi Mix	Chocolate/Tan	Percy	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Cream/White		No	Cat	Neutered Male	1-3 years
Transfer	Chow Chow/Basset Hound	Red		No	Dog	Spayed Female	1-3 years
Return_to_owner	Miniature Schnauzer/Labrador Retriever	Black/White	Stanley	No	Dog	Neutered Male	4-6 years
Transfer	Australian Shepherd Mix	Black/Tricolor		No	Dog	Intact Male	Under 1 year
Adoption	Chihuahua Shorthair/Dachshund	Tan		No	Dog	Neutered Male	Under 1 year
Adoption	Pit Bull Mix	Brown/White	Bronco	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Intact Male	1-3 years
Adoption	Domestic Shorthair Mix	Brown Tabby/White	Anthony	No	Cat	Neutered Male	Under 1 year
Return_to_owner	Blue Lacy Mix	Red/White	Lacy	No	Dog	Spayed Female	1-3 years
Return_to_owner	Shih Tzu Mix	White/Gray	Gaspi	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Black		No	Cat	Unknown	Under 1 year
Euthanasia	Domestic Shorthair Mix	Brown Tabby/White	Snickers	No	Cat	Intact Male	Under 1 year
Return_to_owner	Pomeranian Mix	Tan/White	Lencho	No	Dog	Neutered Male	1-3 years
Transfer	Border Collie Mix	White/Black		No	Dog	Intact Male	Under 1 year
Transfer	Domestic Shorthair Mix	Cream Tabby/White		No	Cat	Intact Female	1-3 years
Euthanasia	Dachshund Mix	Brown	Toby	No	Dog	Intact Male	1-3 years
Adoption	Domestic Shorthair Mix	Orange Tabby/White	Fly	No	Cat	Neutered Male	Under 1 year
Adoption	Pointer Mix	Black/White	Shiner	No	Dog	Intact Female	Under 1 year
Transfer	Domestic Shorthair Mix	Tortie		No	Cat	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Cream		No	Cat	Unknown	Under 1 year
Transfer	Domestic Shorthair Mix	Brown Tabby/White		No	Cat	Unknown	Under 1 year
Transfer	Pug Mix	Tan/Black	Franklin	No	Dog	Neutered Male	1-3 years
Adoption	Border Collie/Labrador Retriever	Black/White	Linux	No	Dog	Neutered Male	1-3 years
Return_to_owner	Pit Bull Mix	Blue/White	Romulus	No	Dog	Neutered Male	4-6 years
Transfer	Chihuahua Shorthair Mix	Brown/White		No	Dog	Intact Female	Under 1 year
Adoption	Jack Russell Terrier	White/Brown	Stetson	No	Dog	Neutered Male	1-3 years
Return_to_owner	Labrador Retriever/German Shepherd	Black	Yogi	No	Dog	Neutered Male	Under 1 year
Return_to_owner	Catahoula/Alaskan Husky	Tan/White	Bandit	No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Brown Tabby/White		No	Cat	Intact Male	1-3 years
Adoption	Domestic Shorthair Mix	Brown Tabby/White	Dublin	No	Cat	Neutered Male	Under 1 year
Adoption	Siamese Mix	Lynx Point	Nod	No	Cat	Spayed Female	11+ years
Return_to_owner	Boston Terrier Mix	Black/White	Squirt	No	Dog	Neutered Male	11+ years
Adoption	Pit Bull Mix	Brown Brindle/White	Sarah	No	Dog	Intact Female	1-3 years
Transfer	Domestic Shorthair Mix	Black/White	Lori	No	Cat	Intact Female	Under 1 year
Adoption	Papillon Mix	White/Black	Biggie Small	No	Dog	Neutered Male	Under 1 year
Transfer	Chihuahua Longhair Mix	Black	Blackie	No	Dog	Intact Female	1-3 years
Adoption	Doberman Pinsch	Black/Brown	Abby	No	Dog	Spayed Female	Under 1 year
Adoption	Domestic Shorthair Mix	Black	Django	No	Cat	Neutered Male	Under 1 year
Adoption	Domestic Shorthair Mix	Blue Tabby	Jimmy	No	Cat	Neutered Male	Under 1 year
Adoption	Domestic Shorthair Mix	Black	June	No	Cat	Spayed Female	Under 1 year
Adoption	Miniature Poodle Mix	White	Sophie	No	Dog	Spayed Female	4-6 years
Transfer	Domestic Shorthair Mix	Orange Tabby	M. Kiki	No	Cat	Neutered Male	11+ years
Transfer	Labrador Retriever/Anatol Shepherd	Tan/White	Lillith	No	Dog	Intact Female	Under 1 year
Transfer	Jack Russell Terrier Mix	Tricolor	Austin	No	Dog	Neutered Male	4-6 years
Transfer	Doberman Pinsch Mix	Black/Brown	Arnold	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Tortie		No	Cat	Intact Female	1-3 years
Adoption	Chihuahua Shorthair Mix	Black/Brown	Paco	No	Dog	Neutered Male	4-6 years
Return_to_owner	German Shepherd	Black/Brown	Sasha	No	Dog	Intact Female	4-6 years
Transfer	Chinese Sharpei	Tan	Harvey	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Orange Tabby		No	Cat	Intact Male	Under 1 year
Transfer	Domestic Shorthair Mix	Black		No	Cat	Unknown	Under 1 year
Transfer	Domestic Shorthair Mix	White		No	Cat	Intact Female	1-3 years
Transfer	Chihuahua Shorthair Mix	Black/White		No	Dog	Unknown	Under 1 year
Adoption	Golden Retriever/Finnish Spitz	Buff	Mia	No	Dog	Spayed Female	4-6 years
Adoption	Miniature Schnauzer Mix	Black	Squeakers	No	Dog	Spayed Female	7-10 years
Transfer	Domestic Shorthair Mix	White/Blue		No	Cat	Unknown	Under 1 year
Transfer	Shih Tzu	White/Black	Half Pint	No	Dog	Intact Male	4-6 years
Euthanasia	Australian Shepherd Mix	Tricolor/Black		No	Dog	Neutered Male	11+ years
Return_to_owner	Beagle Mix	Tricolor	Marley	No	Dog	Spayed Female	1-3 years
Adoption	Domestic Medium Hair Mix	Brown Tabby	Tigra	No	Cat	Spayed Female	Under 1 year
Adoption	Domestic Shorthair Mix	Orange Tabby/White	Fonzi	No	Cat	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Black/White		No	Cat	Intact Female	Under 1 year
Transfer	German Shepherd Mix	Tan/Black		No	Dog	Unknown	Under 1 year
Adoption	Domestic Shorthair Mix	Brown Tabby	Bonnie	No	Cat	Spayed Female	Under 1 year
Adoption	Plott Hound	Brown Brindle/White	Pepper	No	Dog	Spayed Female	1-3 years
Adoption	Domestic Shorthair Mix	Calico	Nancy	No	Cat	Spayed Female	4-6 years
Transfer	Shih Tzu/Miniature Poodle	Black		No	Dog	Intact Male	Under 1 year
Adoption	Domestic Longhair Mix	Orange Tabby	Ryo	No	Cat	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Brown Tabby	Gidget	No	Cat	Spayed Female	1-3 years
Adoption	Basset Hound/Beagle	White/Black	Suzie	No	Dog	Spayed Female	1-3 years
Transfer	Boxer Mix	White/Tan	Papuchon	No	Dog	Neutered Male	4-6 years
Adoption	German Shepherd/Labrador Retriever	Tan/Black	Maxy	No	Dog	Spayed Female	7-10 years
Euthanasia	Labrador Retriever Mix	Black/White	Randy	No	Dog	Intact Male	7-10 years
Adoption	Dachshund Mix	Red/White		No	Dog	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Orange Tabby		No	Cat	Unknown	Under 1 year
Adoption	Chihuahua Shorthair Mix	Brown/White	Rex	No	Dog	Neutered Male	Under 1 year
Return_to_owner	Plott Hound Mix	Brown Brindle/White	Baby Girl	No	Dog	Spayed Female	Under 1 year
Adoption	Labrador Retriever Mix	Tan		No	Dog	Neutered Male	Under 1 year
Return_to_owner	Domestic Shorthair Mix	Brown Tabby	Tiger	No	Cat	Neutered Male	1-3 years
Return_to_owner	Welsh Terrier Mix	Tan/White	Clio	No	Dog	Spayed Female	4-6 years
Adoption	German Shepherd Mix	Sable	Ohana	No	Dog	Spayed Female	4-6 years
Adoption	Domestic Shorthair Mix	Brown Tabby	Jj	No	Cat	Neutered Male	1-3 years
Adoption	Basenji Mix	Red	Chico	No	Dog	Neutered Male	1-3 years
Adoption	Collie Smooth/Jack Russell Terrier	Tricolor	Priscilla	No	Dog	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Brown Tabby/White		No	Cat	Intact Male	Under 1 year
Adoption	Chihuahua Shorthair/Pug	Buff/White	Mags	No	Dog	Spayed Female	1-3 years
Adoption	Miniature Schnauzer Mix	Gray	Rocky	No	Dog	Neutered Male	4-6 years
Transfer	Domestic Shorthair Mix	Black		No	Cat	Intact Male	Under 1 year
Adoption	Siamese Mix	Flame Point	Cooper	No	Cat	Neutered Male	1-3 years
Euthanasia	Domestic Medium Hair Mix	Brown Tabby		No	Cat	Unknown	Under 1 year
Adoption	Chihuahua Shorthair Mix	White/Tan	Winston	No	Dog	Neutered Male	4-6 years
Return_to_owner	Mastiff Mix	Brown Brindle	Baby	No	Dog	Intact Female	1-3 years
Transfer	Chihuahua Shorthair Mix	Brown	Daisy	No	Dog	Spayed Female	4-6 years
Transfer	Domestic Shorthair Mix	Black		No	Cat	Unknown	Under 1 year
Euthanasia	Domestic Shorthair Mix	Brown Tabby/White		No	Cat	Intact Male	Under 1 year
Adoption	Domestic Shorthair Mix	Brown Tabby	Foxie	No	Cat	Spayed Female	Under 1 year
Return_to_owner	Rhod Ridgeback Mix	Red	Marley	No	Dog	Neutered Male	1-3 years
Return_to_owner	Pit Bull Mix	Tan/White	Simba	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Black		No	Cat	Intact Female	Under 1 year
Transfer	Labrador Retriever/Australian Shepherd	Black/White	Dolly	No	Dog	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Black		No	Cat	Intact Female	1-3 years
Euthanasia	Australian Cattle Dog Mix	Tricolor	Roscoe	No	Dog	Neutered Male	1-3 years
Adoption	Domestic Shorthair Mix	Orange Tabby	Annie	No	Cat	Spayed Female	Under 1 year
Adoption	Border Collie/English Pointer	White/Brown	Lollie	No	Dog	Spayed Female	1-3 years
Return_to_owner	Pit Bull Mix	Black	Panther	No	Dog	Neutered Male	1-3 years
Adoption	Great Pyrenees/Border Collie	White/Black		No	Dog	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	White/Blue		No	Cat	Intact Female	Under 1 year
Return_to_owner	Chihuahua Shorthair Mix	Buff	Lucas	No	Dog	Neutered Male	1-3 years
Euthanasia	Domestic Shorthair Mix	Tortie/White	Vera	No	Cat	Intact Female	Under 1 year
Return_to_owner	Domestic Shorthair Mix	Brown Tabby	Seren	No	Cat	Neutered Male	7-10 years
Transfer	Domestic Shorthair Mix	Calico	Stevie	No	Cat	Spayed Female	4-6 years
Return_to_owner	Pit Bull Mix	Blue/White	Smokey	No	Dog	Intact Female	4-6 years
Transfer	Russian Blue Mix	Blue	Heidi	No	Cat	Spayed Female	4-6 years
Adoption	Dachshund Longhair Mix	Red	Henrietta	No	Dog	Spayed Female	7-10 years
Transfer	Domestic Longhair Mix	Brown Tabby	Uno	No	Cat	Neutered Male	7-10 years
Adoption	German Shepherd Mix	Tan/White		No	Dog	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Black/White	Shelby	No	Cat	Spayed Female	1-3 years
Adoption	Domestic Medium Hair Mix	Black/White	Frank	No	Cat	Neutered Male	Under 1 year
Euthanasia	Domestic Shorthair Mix	White		No	Cat	Intact Female	Under 1 year
Adoption	German Shepherd Mix	Tan	Valerie	No	Dog	Spayed Female	Under 1 year
Adoption	Australian Shepherd Mix	Tricolor	Charlie	No	Dog	Neutered Male	1-3 years
Return_to_owner	Pit Bull Mix	Tan/White	Keyshia	No	Dog	Spayed Female	1-3 years
Adoption	Rhod Ridgeback/Plott Hound	Brown/White	Vera	No	Dog	Spayed Female	Under 1 year
Euthanasia	Domestic Shorthair Mix	White/Blue		No	Cat	Intact Female	Under 1 year
Euthanasia	Domestic Shorthair Mix	Brown Tabby/White		No	Cat	Intact Male	Under 1 year
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Intact Female	1-3 years
Transfer	Pit Bull Mix	Black Brindle/White	Dalton	No	Dog	Neutered Male	1-3 years
Adoption	Anatol Shepherd Mix	Tan/White	Oberon	No	Dog	Neutered Male	1-3 years
Transfer	Chihuahua Shorthair Mix	Black/Tan	Smiley	No	Dog	Intact Male	Under 1 year
Transfer	Domestic Shorthair Mix	Black		No	Cat	Intact Female	1-3 years
Adoption	Domestic Shorthair Mix	Black	Asuna	No	Cat	Spayed Female	7-10 years
Adoption	Australian Cattle Dog Mix	Red Tick/Tan	Dottie	No	Dog	Intact Female	4-6 years
Return_to_owner	German Shorthair Pointer	White/Liver	Dash	No	Dog	Neutered Male	11+ years
